project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,parking,developers
Aastha River View,4950000.0,,1.0,1.0,Taloja,Navi Mumbai,19.074076996436,73.1181841544665,Unfurnished,Apartment,0,34,6,Resale,Ready to Move,,Aastha Buildcon
Mateshwari Vaishnavi Nagri,3600000.0,,2.0,2.0,Rasayani,Navi Mumbai,18.8956516083249,73.1761766681785,Unfurnished,Apartment,0,0,4,Resale,Ready to Move,45 Open,Mateshwari Group
Indiabulls Greens Panvel,6800000.0,,2.0,2.0,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,56,10,Resale,Ready to Move,,Indiabulls Greens
Satyam prestige Panvel,3500000.0,420.0,1.0,1.0,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,0,10,Resale,Ready to Move,,Unknown
Unkown,2900000.0,660.0,1.0,2.0,,Navi Mumbai,,,Unfurnished,Apartment,0,0,0,Resale,Ready to Move,,Unknown
K K Sapphire,5500000.0,,1.0,1.0,Ulwe,Navi Mumbai,18.9750941,73.052334,Furnished,Apartment,0,11,6,Resale,Ready to Move,,KK Developers
Unkown,5600000.0,,1.0,2.0,Taloja,Navi Mumbai,19.074076996436,73.1181841544665,Semi-Furnished,Apartment,0,0,6,Resale,Ready to Move,,Unknown
Indiabulls Greens Panvel,4700000.0,,2.0,2.0,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,56,10,Resale,Ready to Move,,Indiabulls Greens
Unkown,3700000.0,410.0,1.0,2.0,Nevali,Navi Mumbai,19.0236093353299,73.1291902751426,Unfurnished,Apartment,0,0,0,Resale,Ready to Move,,Unknown
Avianna Invicta,9500000.0,525.0,2.0,2.0,Ulwe,Navi Mumbai,18.9750941,73.052334,Unfurnished,Apartment,0,4,6,Resale,Ready to Move,1 Covered,Avianna Infra LLP
Lakhani Suncoast,42000000.0,1200.0,3.0,3.0,CBD Belapur,Navi Mumbai,19.0190788324849,73.0384581174593,Furnished,Apartment,0,0,9,Resale,Ready to Move,,Lakhani
Gurudeo C H S,10000000.0,697.0,2.0,2.0,Kamothe,Navi Mumbai,19.0174101252323,73.0958540380712,Unfurnished,Apartment,0,11,3,Resale,Ready to Move,,SRB Developer
