project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,parking,developers
Kasturi Heritage,12000000,821,2,2,Ulwe,Navi Mumbai,18.9750941,73.052334,Furnished,Apartment,0,16,6,Resale,Ready to Move,,Kasturi Housing
Govind Vihar,7990000,767,2,2,Roadpali,Navi Mumbai,19.0385501152056,73.0962748008091,Unfurnished,Apartment,0,7,2,Resale,Ready to Move,,Unknown
Vijaydeep Apartment,6000000,457,1,2,Rabale,Navi Mumbai,19.1439232937657,73.0108611798346,Unfurnished,Apartment,0,10,4,Resale,Ready to Move,,Sharma Builders
Pooja CHS,12500000,832,2,2,Airoli,Navi Mumbai,19.1609103453837,72.9933968951486,Semi-Furnished,Apartment,0,9,10,Resale,Ready to Move,,Raikar Group
Phoenix Heights,8800000,810,2,2,Roadpali,Navi Mumbai,19.0385501152056,73.0962748008091,Semi-Furnished,Apartment,0,19,2,Resale,Ready to Move,,Vision Constructions
Maitri Bhoomi,6200000,486,1,2,Kamothe,Navi Mumbai,19.0174101252323,73.0958540380712,Semi-Furnished,Apartment,0,21,3,Resale,Ready to Move,,Bhaveshwar Developers
Akshar Silvercrest,6700000,468,1,1,Khandeshhwar,Navi Mumbai,19.0101328272487,73.0960622725552,Semi-Furnished,Apartment,0,42,2,Resale,Ready to Move,,Akshar Group
Crescent Height,8750000,685,2,2,Sector 35D Kharghar,Navi Mumbai,19.0719630038591,73.0797042422121,Unfurnished,Apartment,0,23,0,Resale,Ready to Move,,Crescent Construction
Jyot Darshan,4600000,454,1,1,Kharghar,Navi Mumbai,19.0656721198219,73.05961185164,Unfurnished,Apartment,0,5,8,Resale,Ready to Move,,Navkaar Builder & Developers
Platinum The Springs,23000000,1282,4,3,Roadpali,Navi Mumbai,19.0385501152056,73.0962748008091,Furnished,Apartment,0,31,2,Resale,Ready to Move,,Platinum Group Builders
Platinum The Springs,18000000,1404,3,3,Roadpali,Navi Mumbai,19.0385501152056,73.0962748008091,Unfurnished,Apartment,0,31,2,Resale,Ready to Move,,Platinum Group Builders
Aniruddha Enclave,5300000,472,1,1,Kamothe,Navi Mumbai,19.0174101252323,73.0958540380712,Unfurnished,Apartment,0,27,3,Resale,Ready to Move,,Shree Laxmi Developers
Radhey Residency 2,4900000,637,2,2,New Panvel,Navi Mumbai,19.0003258753664,73.1153385297118,Semi-Furnished,Apartment,0,22,5,Resale,Ready to Move,,Radhey Properties Builders
Brij Bhoomi Heights,5300000,486,1,2,Ulwe,Navi Mumbai,18.9750941,73.052334,Unfurnished,Apartment,0,11,6,Resale,Ready to Move,,Brij Bhoomi Builders
Gajra Bhoomi Gardenia,5400000,562,1,1,Roadpali,Navi Mumbai,19.0385501152056,73.0962748008091,Semi-Furnished,Apartment,0,27,2,Resale,Ready to Move,,Gajra Developers Ltd
Bhoomi Gardenia Phase 2,10000000,1044,3,2,Roadpali,Navi Mumbai,19.0385501152056,73.0962748008091,Semi-Furnished,Apartment,0,28,2,Resale,Ready to Move,,Gajra Developers Ltd
