project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,parking,developers
Unkown,4000000.0,,2,2,Badlapur,Beyond Thane,19.1639249,73.2459247,Unfurnished,Apartment,0,0,8,Resale,Ready to Move,,Unknown
Sai Pooja Residency,1700000.0,400,1,2,Dombivli,Beyond Thane,19.2094006,73.0939483,Unfurnished,Apartment,0,12,8,Resale,Ready to Move,1 Open,Mrunal Enterprises
Unkown,2100000.0,,,,Shahapur,Beyond Thane,19.453550664726,73.3247044251021,,Residential Plot,0,0,2,Resale,,,Unknown
JP Synergy,2100000.0,,1,1,Ambernath East,Beyond Thane,19.2075883274914,73.1854898657514,Unfurnished,Apartment,0,18,1,Resale,Ready to Move,,JP Corp
Jainam Residency Phase 2,2400000.0,,1,1,Ambernath East,Beyond Thane,19.2075883274914,73.1854898657514,Semi-Furnished,Apartment,0,0,1,Resale,Ready to Move,,Patel RPL Realty
Unkown,3000000.0,,2,2,Badlapur,Beyond Thane,19.1639249,73.2459247,Unfurnished,Apartment,0,0,8,Resale,Ready to Move,,Unknown
Unkown,5000000.0,,,,Kalyan West,Beyond Thane,19.2442606681675,73.123906730695,,Residential Plot,0,0,5,Resale,,,Unknown
Lodha Casa Urbano ,5800000.0,,2,2,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Semi-Furnished,Apartment,0,0,5,Resale,Ready to Move,,Unknown
Unkown,2000000.0,200,1,1,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Unfurnished,Apartment,0,0,5,Resale,Ready to Move,,Unknown
Jewel Heights,2250000.0,,1,1,Badlapur West,Beyond Thane,19.1760975692482,73.2401614495576,Semi-Furnished,Apartment,0,8,0,Resale,Ready to Move,,JEWEL BUILDERS AND INFRAPROJECTS LTD
Unkown,5300000.0,,2,2,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Unfurnished,Apartment,0,0,5,Resale,Ready to Move,,Unknown
Jai Malhar Society,1800000.0,,1,1,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Semi-Furnished,Apartment,0,0,5,Resale,Ready to Move,,Unknown
