project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,parking,developers
Runwal MyCity,4500000,464,1,2,Dombivli,Beyond Thane,19.2094006,73.0939483,Unfurnished,Apartment,0,5,8,Resale,Ready to Move,,Runwal Group
Dedhia Elita,6100000,454,1,2,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,Unfurnished,Apartment,0,30,4,Resale,Ready to Move,,Dedhia Group
Panvelkar Sankul NX,1900000,331,1,1,Badlapur,Beyond Thane,19.1639249,73.2459247,Unfurnished,Apartment,0,16,8,Resale,Ready to Move,,Panvelkar Group
Panvelkar Sankul NX,2100000,410,1,1,Badlapur,Beyond Thane,19.1639249,73.2459247,Semi-Furnished,Apartment,0,16,8,Resale,Ready to Move,,Panvelkar Group
Neel Siddhi Balaji Garden,4400000,432,1,1,Dombivli,Beyond Thane,19.2094006,73.0939483,Unfurnished,Apartment,0,17,8,Resale,Ready to Move,,Neel Siddhi developers
Lodha Palava Casa Bella,3700000,421,1,1,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Semi-Furnished,Apartment,0,56,5,Resale,Ready to Move,,Lodha Developers Limited
Saisatyam Residency,4100000,483,1,1,Kalyan West,Beyond Thane,19.2442606681675,73.123906730695,Furnished,Apartment,0,12,5,Resale,Ready to Move,,Saisatyam Group
Sai Atlanta Eden World,2500000,457,1,1,Bhiwandi,Beyond Thane,19.2937911767008,73.0653582109139,Unfurnished,Apartment,0,21,6,Resale,Ready to Move,,Sai Balaji Developers
Atlanta Edenworld,2800000,457,1,1,Bhiwandi,Beyond Thane,19.2937911767008,73.0653582109139,Unfurnished,Apartment,0,32,6,Resale,Ready to Move,,Sai Balaji Developers
Atlanta Edenworld,2400000,457,1,2,Bhiwandi,Beyond Thane,19.2937911767008,73.0653582109139,Unfurnished,Apartment,0,32,6,Resale,Ready to Move,,Sai Balaji Developers
Unkown,5500000,300,1,1,,Thane,,,Semi-Furnished,Apartment,0,0,0,Resale,Ready to Move,,Unknown
Manex Height,3900000,515,2,1,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Unfurnished,Apartment,0,0,5,Resale,Ready to Move,,Unknown
Akash Ganga CHS,11500000,576,2,2,Thane West,Thane,19.2083097363891,72.9724465271482,Unfurnished,Apartment,0,0,10,Resale,Ready to Move,,Unknown
NX Dhruv Residency Pashane,3200000,491,2,2,Vangani,Beyond Thane,19.0925602606021,73.2971135741545,Unfurnished,Apartment,0,0,4,Resale,Ready to Move,,Unknown
Pride Larkins Nest,10000000,640,2,2,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,Unfurnished,Apartment,0,5,4,Resale,Ready to Move,,Pride Properties
Ace Courtyard,6000000,318,1,1,Kasarvadavali,Thane,19.2692017640962,72.9703926869083,Furnished,Apartment,0,7,3,Resale,Ready to Move,,ACE Realty
Runwal Codename Enchanted,7000000,301,1,2,Kolshet,Thane,19.2392002271759,72.997235034948,Unfurnished,Apartment,0,17,0,Resale,Under Construction,,Runwal Group
Advance Legacy,3200000,274,1,1,Sonar Pada,Beyond Thane,19.1946777419263,73.1026729332756,Unfurnished,Apartment,0,9,1,Resale,Under Construction,,Advance Home Makers Private Limited 
Dosti West County,5900000,283,1,1,Balkum Pada,Thane,19.218154,72.993664,Unfurnished,Apartment,0,9,3,Resale,Under Construction,,Dosti Realty 
Dosti West County,6900000,331,1,1,Balkum Pada,Thane,19.218154,72.993664,Unfurnished,Apartment,0,9,3,Resale,Under Construction,,Dosti Realty 
Dosti Tulip,11500000,542,2,2,Balkum Pada,Thane,19.218154,72.993664,Unfurnished,Apartment,0,11,3,Resale,Under Construction,,Dosti Realty 
Dosti Tulip,14000000,680,3,3,Balkum Pada,Thane,19.218154,72.993664,Unfurnished,Apartment,0,11,3,Resale,Under Construction,,Dosti Realty 
Dosti Tulip,5800000,283,1,2,Balkum Pada,Thane,19.218154,72.993664,Unfurnished,Apartment,0,11,3,Resale,Under Construction,,Dosti Realty 
Dosti Tulip,9800000,476,2,2,Balkum Pada,Thane,19.218154,72.993664,Unfurnished,Apartment,0,11,3,Resale,Under Construction,,Dosti Realty 
Dosti Tulip,8700000,418,2,2,Balkum Pada,Thane,19.218154,72.993664,Unfurnished,Apartment,0,11,3,Resale,Under Construction,,Dosti Realty 
Dosti Tulip,6800000,330,1,2,Balkum Pada,Thane,19.218154,72.993664,Unfurnished,Apartment,0,11,3,Resale,Under Construction,,Dosti Realty 
Everest World,10000000,564,2,2,Kolshet Road,Thane,19.2321621,72.9873688,Furnished,Apartment,0,23,1,Resale,Ready to Move,,Terraform Realty
Everest World,15000000,840,3,3,Kolshet Road,Thane,19.2321621,72.9873688,Semi-Furnished,Apartment,0,23,1,Resale,Ready to Move,,Terraform Realty
Vardhman Vatika,3100000,763,2,2,Vasind,Beyond Thane,19.4059529362434,73.2634315742197,Unfurnished,Apartment,0,25,2,Resale,Ready to Move,,Vardhaman Infrastructure
Puranik City,10600000,846,2,2,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,Semi-Furnished,Apartment,0,22,4,Resale,Ready to Move,,Puranik Builders ltd.
Puranik City,7950000,733,2,2,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,Unfurnished,Apartment,0,22,4,Resale,Ready to Move,,Puranik Builders ltd.
Puranik City,9800000,756,3,2,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,Semi-Furnished,Apartment,0,22,4,Resale,Ready to Move,,Puranik Builders ltd.
Puranik City,10700000,864,3,2,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,Unfurnished,Apartment,0,22,4,Resale,Ready to Move,,Puranik Builders ltd.
Tata Amantra,5500000,667,2,1,Kalyan West,Beyond Thane,19.2442606681675,73.123906730695,Unfurnished,Apartment,0,20,5,Resale,Ready to Move,,TATA Housing Development Company Ltd.
Tata Amantra,6500000,778,2,2,Kalyan,Beyond Thane,19.2449413625186,73.1331398884041,Furnished,Apartment,0,20,8,Resale,Ready to Move,,TATA Housing Development Company Ltd.
Vasant Leela Apartment,8800000,630,2,2,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,Unfurnished,Apartment,0,18,4,Resale,Ready to Move,,Sheth Creators Pvt. Ltd.
Grand Square,7800000,576,2,2,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,Furnished,Apartment,0,17,4,Resale,Ready to Move,,Squarefeet Group
Lodha Casa Ultima,17000000,936,3,2,Majiwada,Thane,19.215865938964,72.9914374146644,Furnished,Apartment,0,28,6,Resale,Ready to Move,,Lodha Developers Limited
Lodha Luxuria,16500000,797,2,2,Majiwada,Thane,19.215865938964,72.9914374146644,Furnished,Apartment,0,35,6,Resale,Ready to Move,,Lodha Developers Limited
Unnathi Greens,6600000,518,2,2,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,Unfurnished,Apartment,0,18,4,Resale,Ready to Move,,Raunak Group
Unnathi Greens,6800000,518,2,2,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,Unfurnished,Apartment,0,18,4,Resale,Ready to Move,,Raunak Group
Unnathi Greens,5800000,423,1,2,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,Unfurnished,Apartment,0,18,4,Resale,Ready to Move,,Raunak Group
