project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,developers,project_name_encoded,locality_encoded,city_encoded,developers_encoded
STK Kukreja Classic,17900000.0,674.4403445593452,2.0,2.0,Sanpada,Navi Mumbai,19.0583094914648,73.0164374121942,0.5,1.0,0.0,7.0,9.0,1.0,0.5,Kukreja Construction Company,18766122.2,39700177.0,10568313.698119901,24541326.375
Indraprastha Apartment,4900000.0,482.0,1.0,1.0,New Panvel,Navi Mumbai,19.0003258753664,73.1153385297118,0.0,1.0,0.0,0.0,5.0,0.0,1.0,Unknown,4900000.0,6249443.385093167,10568313.698119901,14922676.984989278
Clan City,7500000.0,778.0,2.0,2.0,Kharghar,Navi Mumbai,19.0656721198219,73.05961185164,0.0,1.0,0.0,26.0,8.0,0.0,0.5,SUPREME CONSTRUCTION and DEVELOPERS PVT. LTD.,6833333.333333333,11243018.079617834,10568313.698119901,6833333.333333333
Clan City,6500000.0,685.0,2.0,2.0,Kharghar,Navi Mumbai,19.0656721198219,73.05961185164,0.0,1.0,0.0,26.0,8.0,0.0,0.5,SUPREME CONSTRUCTION and DEVELOPERS PVT. LTD.,6833333.333333333,11243018.079617834,10568313.698119901,6833333.333333333
Clan City,6000000.0,503.0,1.0,1.0,Kharghar,Navi Mumbai,19.0656721198219,73.05961185164,0.0,1.0,0.0,26.0,8.0,0.0,0.5,SUPREME CONSTRUCTION and DEVELOPERS PVT. LTD.,6833333.333333333,11243018.079617834,10568313.698119901,6833333.333333333
Clan City,8500000.0,469.0,2.0,2.0,Kharghar,Navi Mumbai,19.0656721198219,73.05961185164,0.0,1.0,0.0,26.0,8.0,0.0,0.5,SUPREME CONSTRUCTION and DEVELOPERS PVT. LTD.,6833333.333333333,11243018.079617834,10568313.698119901,6833333.333333333
Clan City,4800000.0,324.0,1.0,1.0,Kharghar,Navi Mumbai,19.0656721198219,73.05961185164,0.0,1.0,0.0,26.0,8.0,0.0,0.5,SUPREME CONSTRUCTION and DEVELOPERS PVT. LTD.,6833333.333333333,11243018.079617834,10568313.698119901,6833333.333333333
Clan City,7700000.0,775.0,2.0,2.0,Kharghar,Navi Mumbai,19.0656721198219,73.05961185164,0.0,1.0,0.0,26.0,8.0,0.0,0.5,SUPREME CONSTRUCTION and DEVELOPERS PVT. LTD.,6833333.333333333,11243018.079617834,10568313.698119901,6833333.333333333
Sankalp Riddhi Siddhi Heights,5800000.0,376.6478930427911,1.0,1.0,Ulwe,Navi Mumbai,18.9750941,73.052334,0.0,1.0,0.0,9.0,6.0,1.0,1.0,Sankalp Group,5516666.666666667,8304250.0,10568313.698119901,5928571.428571428
Sankalp Riddhi Siddhi Heights,5800000.0,378.00111319947973,1.0,1.0,Ulwe,Navi Mumbai,18.9750941,73.052334,0.0,1.0,0.0,9.0,6.0,0.0,1.0,Sankalp Group,5516666.666666667,8304250.0,10568313.698119901,5928571.428571428
Neelkanth Luxuria,3950000.0,428.60189354194154,1.0,1.0,Taloja,Navi Mumbai,19.074076996436,73.1181841544665,0.0,1.0,0.0,28.0,6.0,1.0,0.5,Neelkanth Group,3890374.75,5495000.2613240415,10568313.698119901,31076149.9
